metric,500_before,500_after,1000_before,1000_after,5000_before,5000_after,10000_before,10000_after,20000_before,20000_after
CDE_loss,0.9230769230769231,0.8974358974358975,0.9230769230769231,0.9230769230769231,0.8823529411764706,0.9411764705882353,0.8,0.84,0.75,0.8125
log_lik,0.8974358974358975,0.9230769230769231,0.8717948717948718,0.8205128205128205,0.8823529411764706,0.8823529411764706,0.8,0.76,0.8125,0.8125
CRPS,0.9743589743589743,0.9487179487179487,0.9743589743589743,0.9487179487179487,0.9705882352941176,0.9705882352941176,0.96,1.0,0.9375,0.9375
PIT_KS,0.23076923076923078,0.358974358974359,0.41025641025641024,0.1282051282051282,0.14705882352941177,0.08823529411764706,0.36,0.2,0.1875,0.1875
coverage_abs_err,0.05128205128205128,0.0,0.05128205128205128,0.05128205128205128,0.029411764705882353,0.14705882352941177,0.2,0.12,0.125,0.125
