dataset,n,method,group,n_test,status,CDE_loss__before,CDE_loss__after,log_lik__before,log_lik__after,CRPS__before,CRPS__after,PIT_KS__before,PIT_KS__after,coverage_90__before,coverage_90__after,interval_width__before,interval_width__after,coverage_abs_err__before,coverage_abs_err__after
BlackFriday,500,BART-Homo,baseline,125,ok,-2.9449122515791222e-05,-4.659720071237438e-05,-10.23585177105092,-10.196750165199497,3944.748642769245,3155.270197085216,0.3022053706069528,0.12391998025288287,1.0,0.952,20567.11302289316,19800.265092926373,0.09999999999999998,0.051999999999999935
BlackFriday,500,BART-Hetero,baseline,125,ok,-2.585509137481137e-05,-5.6805725717169534e-05,-10.27555311439045,-9.873188494400685,4123.863482113675,2649.639852446385,0.4259384976666709,0.11815038415332413,0.944,0.896,18193.825415094077,17748.56573807919,0.04399999999999993,0.0040000000000000036
BlackFriday,500,CatMLP,baseline,125,ok,-8.560604281102128e-05,-8.209511742505599e-05,-9.59006332187766,-9.612186149326398,3043.6892432888344,3043.009187965682,0.1197149965411935,0.06281356486690798,0.864,0.928,15711.597693025773,16175.870834098154,0.03600000000000003,0.028000000000000025
BlackFriday,5000,FlexCode-RF,baseline,1250,ok,-0.0002587210285157234,-0.0002698925542212465,-8.660467715025062,-8.601872011321834,1982.347213879478,1950.8286704480863,0.06449147785002485,0.010249253492788213,0.9752,0.8888,15655.162042004473,12408.078682238318,0.07519999999999993,0.011199999999999988
BlackFriday,5000,TabPFN-2.5,foundation,1250,ok,-0.00031828436851125515,-0.0003224357892001769,-8.16844450097878,-8.165748209932909,1916.3496467948496,1916.7535149274,0.030069035872962502,0.014120944399065749,0.876,0.8968,11062.385374150852,11368.16032597338,0.02400000000000002,0.0031999999999999806
BlackFriday,5000,RealTabPFN-2.5,foundation,1250,ok,-0.00029517283884472823,-0.0003075968129204709,-8.191127317775003,-8.181571588428124,1935.636969226396,1928.78468728391,0.0643731560515538,0.014240794513876203,0.8664,0.9016,10861.392418951184,11589.986434102202,0.033600000000000074,0.0015999999999999348
BlackFriday,5000,TabICL-Quantiles,foundation,1250,ok,-0.00021360372834413024,-0.00021780487174881128,-9.031289395920775,-9.021822435374133,1926.047221698765,1929.29947252002,0.04351360142625449,0.009649569316237394,0.8824,0.8952,11039.587211564301,11248.694776390033,0.01760000000000006,0.0048000000000000265
BlackFriday,5000,LinearGauss-Homo,baseline,1250,ok,-6.108495230120439e-05,-7.079120546400136e-05,-9.850572558826354,-9.78556617229423,2619.0555581487465,2621.034726333702,0.04149950018349646,0.020217140197161455,0.8888,0.9088,14785.149817944888,15398.214406159508,0.011199999999999988,0.00880000000000003
BlackFriday,5000,LinearGauss-Hetero,baseline,1250,ok,-6.080107094003243e-05,-7.182606131721452e-05,-9.832368088360221,-9.748672714228118,2616.5384548995016,2614.4883195605107,0.0520730286979012,0.011604213744408454,0.884,0.8992,14384.276188168975,15016.290863570546,0.016000000000000014,0.0008000000000000229
BlackFriday,5000,Student-t,baseline,1250,ok,-6.105834126393504e-05,-7.113486180313986e-05,-9.849453500333492,-9.783449616072943,2620.010953473597,2620.807765756622,0.04731049142437149,0.020507116893414196,0.888,0.904,14611.98873457426,15310.31135594743,0.01200000000000001,0.0040000000000000036
BlackFriday,5000,LogNormal-Homo,baseline,1250,ok,-5.027528031023673e-05,-6.961926052979393e-05,-9.973860445122641,-9.761117807597298,2726.8875181753306,2619.542725935378,0.16192844575804377,0.013944167448717293,0.8656,0.8952,15758.99103247097,15621.228446411336,0.034399999999999986,0.0048000000000000265
BlackFriday,5000,LogNormal-Hetero,baseline,1250,ok,-5.665554421380836e-05,-7.222000318300217e-05,-9.922961063330437,-9.773193972708253,2640.9590793523116,2570.0824392078066,0.14336809380410448,0.03426547277478903,0.892,0.8936,15110.120649561974,14656.36088691544,0.008000000000000007,0.006400000000000072
BlackFriday,5000,MDN,baseline,1250,ok,-0.00021731411404502744,-0.00021679577386121425,-8.900256943945811,-8.89966833490938,2381.102536356949,2379.9556389899685,0.028092791160039043,0.010551875831419366,0.8624,0.8912,13238.850418225933,14191.106653771832,0.03759999999999997,0.00880000000000003
BlackFriday,5000,Flow-Spline,baseline,1250,ok,-0.00013343563445986802,-0.00013821641023960239,-9.032760957813098,-9.017156114572126,2571.479425321338,2557.2269292667106,0.046485027165223514,0.011600935768435787,0.8336,0.8968,13233.77732937546,14787.651393485683,0.06640000000000001,0.0031999999999999806
BlackFriday,5000,Quantile-Tree,baseline,1250,ok,-0.00029884672181348655,-0.00029518057421658924,-8.663131368947765,-8.639260593765421,1983.4142853160604,1984.594247095274,0.035897387700847605,0.012597984671943452,0.8928,0.9008,12600.69085344599,12979.6205780958,0.007199999999999984,0.0008000000000000229
BlackFriday,5000,Gamma-GLM,baseline,1250,ok,-5.4417640706092426e-05,-6.650281843082444e-05,-9.933497633230303,-9.794524149641557,2707.9154202983254,2649.197070239678,0.12119865537679958,0.01785172645846147,0.8688,0.916,15844.89758228394,16043.07894773405,0.031200000000000006,0.016000000000000014
BlackFriday,5000,LinGauss-Homo-Ridge,baseline,1250,ok,-6.091182949145886e-05,-7.163675008502208e-05,-9.851022057878819,-9.782922095487104,2622.0169513540654,2623.8183858363363,0.04256938644549124,0.020426563676421816,0.8904,0.9104,14795.296989748036,15387.30903338849,0.009600000000000053,0.010399999999999965
BlackFriday,5000,LinGauss-Hetero-Ridge,baseline,1250,ok,-5.223033148042872e-05,-9.191348443504954e-05,-9.923150691600872,-9.637135007919651,2921.1740301738078,2906.2993626097614,0.12888591998871934,0.041995885782004194,0.8648,0.9504,15940.956513076782,17282.110010467117,0.03520000000000001,0.0504
BlackFriday,5000,Student-t-Ridge,baseline,1250,ok,-6.087957194816281e-05,-7.168188720496418e-05,-9.850215790148278,-9.778751852638585,2622.9197362395676,2623.571450806544,0.04775968816059084,0.020412687119093966,0.8888,0.9064,14641.869141737756,15334.282309522652,0.011199999999999988,0.006399999999999961
BlackFriday,5000,LogNormal-Homo-Ridge,baseline,1250,ok,-5.026929251306037e-05,-6.990678080174622e-05,-9.97428431707585,-9.759993691808436,2727.7129373894954,2619.723748039696,0.16135838146937917,0.014409693482706147,0.8656,0.896,15766.238322300149,15627.649575669584,0.034399999999999986,0.0040000000000000036
BlackFriday,5000,LogNormal-Hetero-Ridge,baseline,1250,ok,-5.6810232231795866e-05,-7.239611411067157e-05,-9.923256076366393,-9.773912940516949,2641.959646817518,2571.9291287913543,0.14521266525874682,0.03400002198735186,0.8912,0.8896,15124.762655093044,14660.200602403069,0.00880000000000003,0.010400000000000076
BlackFriday,5000,Gamma-GLM-Ridge,baseline,1250,ok,-5.179393780580124e-05,-7.21453415205076e-05,-9.957931848139557,-9.756888149825926,2813.3675698669626,2747.249831945995,0.12073505326433753,0.03755596065795708,0.8856,0.9312,16257.70956381134,16283.530686039698,0.014399999999999968,0.031200000000000006
BlackFriday,5000,BART-Homo,baseline,1250,ok,-3.265593568422819e-05,-8.080343235834847e-05,-10.1971904958309,-9.664217880979898,3633.1032299151325,2917.8792860415133,0.29665298840200716,0.06427704264868983,0.9992,0.9296,21174.763470460217,16500.748440512754,0.09919999999999995,0.02959999999999996
BlackFriday,5000,BART-Hetero,baseline,1250,ok,-3.2800116208489796e-05,-0.0001173631567222964,-10.141988072851877,-9.304403163670887,3563.3607725692823,2024.4577716323747,0.46444697465355733,0.034391468173977424,0.9968,0.9096,18645.60250153199,12832.827556824299,0.0968,0.009599999999999942
BlackFriday,5000,CatMLP,baseline,1250,ok,-0.0002501632835116778,-0.0002463733297631692,-8.573352812527082,-8.577438690273349,2382.2448801793253,2379.66833977839,0.0372753301072668,0.012745615429925583,0.884,0.8944,13723.0990031932,14277.68403431282,0.016000000000000014,0.005600000000000049
BrazilianHouses,1000,FlexCode-RF,baseline,250,ok,-0.0006327704258427949,-0.0014564640700347406,-7.883324909101859,-6.95319471641965,515.4934088388686,211.8212547279202,0.35491468254859293,0.038614397097948616,0.996,0.92,15578.284484154865,941.6171751790771,0.09599999999999997,0.020000000000000018
BrazilianHouses,1000,TabPFN-2.5,foundation,250,ok,-0.004102833986453833,-0.0038289742737956448,-5.30644884748338,-5.3275269528575135,40.56286808980996,43.41058093749169,0.29713671296744204,0.24233679072594652,1.0,0.992,321.69180688934085,266.87081016368097,0.09999999999999998,0.09199999999999997
BrazilianHouses,1000,RealTabPFN-2.5,foundation,250,ok,-0.0040899985284300585,-0.003870727092539725,-5.313034099141438,-5.330172210921496,42.503767200713305,45.72117730528242,0.28913378225237985,0.2429238056662059,1.0,0.992,322.2916310288792,267.67854504041014,0.09999999999999998,0.09199999999999997
BrazilianHouses,1000,TabICL-Quantiles,foundation,250,ok,-0.003629925364598701,-0.004013501591800706,-5.6858702619318535,-5.548621416473798,26.8677124055674,26.904272351414598,0.2850377627283691,0.31023323634838873,1.0,0.996,437.9973621248035,349.4888749543795,0.09999999999999998,0.09599999999999997
BrazilianHouses,1000,LinearGauss-Homo,baseline,250,ok,-0.0034725943143585117,-0.0034725943143585117,-10.767176098014305,-10.767176098014305,7142.5890402010045,7142.5890402010045,0.33886681261888474,0.33886681261888474,0.684,0.684,172.38656080401998,172.38656080401998,0.21599999999999997,0.21599999999999997
BrazilianHouses,1000,LinearGauss-Hetero,baseline,250,ok,-0.0009276065347615116,-0.0009218730348061789,-20.150187238581115,-20.150102020684674,19933.074875179576,19933.106190954775,0.84,0.84,0.16,0.16,40.49560012058796,40.32434170854272,0.74,0.74
BrazilianHouses,1000,Student-t,baseline,250,ok,-0.004610250916524964,-0.004171923241089212,-5.25662685779373,-5.224162402464487,31.056990700245784,33.72148982202963,0.37823926056882723,0.2779061120482345,1.0,1.0,282.94222810029,262.51983696785095,0.09999999999999998,0.09999999999999998
BrazilianHouses,1000,LogNormal-Homo,baseline,250,ok,-0.000372904757946276,-0.00035312981583923513,-8.206578598391651,-8.203974269421407,626.3478917931444,629.4901274521058,0.08205158470172963,0.029454167599016423,0.924,0.924,3638.6484637825256,3577.999874933872,0.02400000000000002,0.02400000000000002
BrazilianHouses,1000,LogNormal-Hetero,baseline,250,ok,-0.00020149403016738666,-0.0002837337594309677,-8.718902826819194,-8.579381142853126,768.9076799390912,760.6226297280285,0.15044995447943638,0.10906736400470693,0.708,0.792,2275.181002341661,2669.0834917929424,0.19200000000000006,0.10799999999999998
BrazilianHouses,1000,MDN,baseline,250,ok,-0.0011120257720050606,-0.0011028153645252865,-7.342119640585506,-7.340236981132485,254.651226552511,257.39828422795665,0.09156115614764193,0.05937644038633083,0.884,0.872,1107.0900848172332,986.5094365835956,0.016000000000000014,0.028000000000000025
BrazilianHouses,1000,Flow-Spline,baseline,250,ok,-0.0010800157900874032,-0.0010808948397309495,-7.283482807247719,-7.262529814054613,240.05513992228936,235.15344603483982,0.160931841717306,0.047645851563565544,0.888,0.872,1032.181494704932,906.4520128342745,0.01200000000000001,0.028000000000000025
BrazilianHouses,1000,Quantile-Tree,baseline,250,ok,-0.0024600955619290053,-0.0026683620623533743,-6.4079132725201715,-6.147328763101222,129.5218866018286,116.1580600795439,0.22534636048152856,0.13886783421547133,0.992,0.932,1594.9218982937732,518.9123341417323,0.09199999999999997,0.03200000000000003
BrazilianHouses,1000,Gamma-GLM,baseline,250,ok,-0.0003759948493322187,-0.00035880269664516806,-8.18367359443684,-8.179328218697375,612.2950947827088,616.2706928487966,0.09983308360369486,0.029824704693005466,0.94,0.936,3590.8554346715528,3536.0061147457945,0.039999999999999925,0.03600000000000003
